SID,LEVEL,WORD,POS
592,B2,shelter,noun
593,B2,shift,verb
594,B2,ship,verb
595,B2,shock,noun
596,B2,shocked,adjective
597,B2,shooting,noun
598,B2,shot,noun
599,B2,significant,adjective
600,B2,significantly,adverb
601,B2,silence,noun
602,B2,silk,noun
603,B2,sincere,adjective
604,B2,slide,verb
605,B2,slight,adjective
606,B2,slip,verb
607,B2,slope,noun
608,B2,solar,adjective
609,B2,soul,noun
610,B2,specialist,noun
611,B2,species,noun
612,B2,speed,verb
613,B2,spiritual,adjective
614,B2,split,verb
615,B2,sponsor,verb
616,B2,spot,verb
617,B2,spread,noun
618,B2,stable,adjective
619,B2,stage,verb
620,B2,stand,noun
621,B2,stare,verb
622,B2,status,noun
623,B2,steady,adjective
624,B2,steel,noun
625,B2,steep,adjective
626,B2,step,verb
627,B2,sticky,adjective
628,B2,stiff,adjective
629,B2,stock,noun
630,B2,stream,noun
631,B2,stretch,verb
632,B2,strict,adjective
633,B2,strike,verb
634,B2,structure,verb
635,B2,struggle,verb
636,B2,stuff,verb
637,B2,subject,adjective
638,B2,submit,verb
639,B2,sum,noun
640,B2,surgery,noun
641,B2,surround,verb
642,B2,surrounding,adjective
643,B2,survey,verb
644,B2,suspect,verb
645,B2,swear,verb
646,B2,sweep,verb
647,B2,switch,noun
648,B2,sympathy,noun
649,B2,tale,noun
650,B2,tank,noun
651,B2,target,verb
652,B2,tear,noun
653,B2,tear,verb
654,B2,temporary,adjective
655,B2,term,verb
656,B2,therapy,noun
657,B2,threat,noun
658,B2,threaten,verb
659,B2,time,verb
660,B2,title,verb
661,B2,tone,noun
662,B2,tough,adjective
663,B2,track,verb
664,B2,transfer,verb
665,B2,transform,verb
666,B2,transition,noun
667,B2,trial,noun
668,B2,trip,verb
669,B2,tropical,adjective
670,B2,trouble,verb
671,B2,truly,adverb
672,B2,trust,noun
673,B2,try,noun
674,B2,tune,noun
675,B2,tunnel,noun
676,B2,ultimately,adverb
677,B2,unconscious,adjective
678,B2,unexpected,adjective
679,B2,unique,adjective
680,B2,universe,noun
681,B2,unknown,adjective
682,B2,upper,adjective
683,B2,upward,adverb
684,B2,urban,adjective
685,B2,urge,verb
686,B2,value,verb
687,B2,van,noun
688,B2,vary,verb
689,B2,vast,adjective
690,B2,venue,noun
691,B2,victory,noun
692,B2,violence,noun
693,B2,virtual,adjective
694,B2,vision,noun
695,B2,visual,adjective
696,B2,vital,adjective
697,B2,vitamin,noun
698,B2,volume,noun
699,B2,wage,noun
700,B2,weakness,noun
701,B2,wealth,noun
702,B2,wealthy,adjective
703,B2,whisper,verb
704,B2,widely,adverb
705,B2,wildlife,noun
706,B2,willing,adjective
707,B2,wind,verb
708,B2,wire,noun
709,B2,wise,adjective
710,B2,witness,noun
711,B2,worse,noun
712,B2,worst,noun
713,B2,worth,noun
714,B2,wound,noun
715,B2,wrap,verb
716,B2,wrong,noun
717,B2,zone,noun
