SID,WORD,POS,LEVEL
1058,residence,noun,C1
1059,residential,adjective,C1
1060,residue,noun,C1
1061,resignation,noun,C1
1062,resistance,noun,C1
1063,respective,adjective,C1
1064,respectively,adverb,C1
1065,restoration,noun,C1
1066,restraint,noun,C1
1067,resume,verb,C1
1068,retreat,noun,C1
1069,retreat,verb,C1
1070,retrieve,verb,C1
1071,revelation,noun,C1
1072,revenge,noun,C1
1073,reverse,verb,C1
1074,reverse,noun,C1
1075,reverse,adjective,C1
1076,revival,noun,C1
1077,revive,verb,C1
1078,revolutionary,adjective,C1
1079,rhetoric,noun,C1
1080,rifle,noun,C1
1081,riot,noun,C1
1082,rip,verb,C1
1083,ritual,noun,C1
1084,robust,adjective,C1
1085,rock,verb,C1
1086,rod,noun,C1
1087,rookie,noun,C1
1088,roster,noun,C1
1089,rotate,verb,C1
1090,rotation,noun,C1
1091,ruling,noun,C1
1092,rumor,noun,C1
1093,sacred,adjective,C1
1094,sacrifice,noun,C1
1095,sacrifice,verb,C1
1096,saint,noun,C1
1097,sake,noun,C1
1098,sanction,noun,C1
1099,say,noun,C1
1100,scattered,adjective,C1
1101,scope,noun,C1
1102,screw,noun,C1
1103,screw,verb,C1
1104,scrutiny,noun,C1
1105,seal,noun,C1
1106,seal,verb,C1
1107,secondly,adverb,C1
1108,secular,adjective,C1
1109,seemingly,adverb,C1
1110,segment,noun,C1
1111,seize,verb,C1
1112,seldom,adverb,C1
1113,selective,adjective,C1
1114,sensation,noun,C1
1115,sensitivity,noun,C1
1116,sentiment,noun,C1
1117,separation,noun,C1
1118,serial,adjective,C1
1119,settlement,noun,C1
1120,setup,noun,C1
1121,sexuality,noun,C1
1122,shareholder,noun,C1
1123,shatter,verb,C1
1124,shed,verb,C1
1125,sheer,adjective,C1
1126,shipping,noun,C1
1127,shoot,noun,C1
1128,shrink,verb,C1
1129,shrug,verb,C1
1130,sigh,verb,C1
1131,sigh,noun,C1
1132,simulate,verb,C1
